symbol,split,model,n_rows,mae,rmse,r2,diracc,posrate
AAPL,test,BASELINE_ZERO,269,0.012451116410088102,0.019928233975821927,-0.00045931584537872716,0.5204460966542751,0.5204460966542751
AAPL,test,BASELINE_MEAN_TRAIN,269,0.01244154903539103,0.01992926055720875,-0.000562393656179383,0.5204460966542751,0.5204460966542751
AAPL,test,RIDGE(alpha=3.0),269,0.01275619590423685,0.02018158715109294,-0.0260592520041516,0.4423791821561338,0.5204460966542751
AAPL,test,RF,269,0.01453237167190352,0.021238594123795907,-0.13635319242505828,0.4721189591078067,0.5204460966542751
AAPL,test,HGB,269,0.015122532479795975,0.021578107074140433,-0.1729742898052371,0.44981412639405205,0.5204460966542751
AAPL,test,BASELINE_NAIVE_RETURN1D,269,0.016836041113557878,0.02760193105972396,-0.9192906121086193,0.5278810408921933,0.5204460966542751
AAPL,val,BASELINE_MEAN_TRAIN,502,0.010043013687345333,0.01349076067313717,-0.0014994599957318666,0.5637450199203188,0.5637450199203188
AAPL,val,BASELINE_ZERO,502,0.010122077162849094,0.0135553964114068,-0.011119040274920167,0.5637450199203188,0.5637450199203188
AAPL,val,RIDGE(alpha=3.0),502,0.010218927287673533,0.013701779377216951,-0.033074838989037625,0.5119521912350598,0.5637450199203188
AAPL,val,HGB,502,0.011608110935665421,0.014975986065987613,-0.23415213313918293,0.4760956175298805,0.5637450199203188
AAPL,val,RF,502,0.01184518256047125,0.015178920337685396,-0.26782586315922785,0.448207171314741,0.5637450199203188
AAPL,val,BASELINE_NAIVE_RETURN1D,502,0.01418507376193125,0.01851946942817128,-0.8872738572893908,0.5179282868525896,0.5637450199203188
TSLA,test,BASELINE_MEAN_TRAIN,269,0.028414874536192396,0.03887890957721941,-0.00013204087888496474,0.49814126394052044,0.49814126394052044
TSLA,test,BASELINE_ZERO,269,0.0283702046055879,0.03889550805057312,-0.0009861907946615567,0.49814126394052044,0.49814126394052044
TSLA,test,RIDGE(alpha=10.0),269,0.028346700393012028,0.03898775935844152,-0.005740045280832273,0.5539033457249071,0.49814126394052044
TSLA,test,RF,269,0.03245579963985989,0.04301797821469424,-0.22441651732157242,0.5576208178438662,0.49814126394052044
TSLA,test,HGB,269,0.0318705615951564,0.04303040838570195,-0.2251242170423009,0.4944237918215613,0.49814126394052044
TSLA,test,BASELINE_NAIVE_RETURN1D,269,0.04186611130512985,0.056890871004485796,-1.1414816374486145,0.483271375464684,0.49814126394052044
TSLA,val,RIDGE(alpha=10.0),502,0.026882417145552482,0.0367274297445186,0.00219121927707866,0.5079681274900398,0.5258964143426295
TSLA,val,BASELINE_MEAN_TRAIN,502,0.026921327784505216,0.03679840063452609,-0.0016687730166087267,0.5258964143426295,0.5258964143426295
TSLA,val,BASELINE_ZERO,502,0.02698118922795607,0.03690409867914978,-0.0074313324365173905,0.5258964143426295,0.5258964143426295
TSLA,val,RF,502,0.026782573160179828,0.03701753966363337,-0.013634418669739912,0.5378486055776892,0.5258964143426295
TSLA,val,HGB,502,0.028145029367302305,0.03834730306724909,-0.08776705106806393,0.5378486055776892,0.5258964143426295
TSLA,val,BASELINE_NAIVE_RETURN1D,502,0.03885542114704218,0.05179722055288668,-0.9846282099620411,0.5139442231075697,0.5258964143426295
^GSPC,test,BASELINE_MEAN_TRAIN,269,0.007102476458384878,0.01150125811346174,-0.0006707808059507325,0.5799256505576208,0.5799256505576208
^GSPC,test,BASELINE_ZERO,269,0.007150188392936111,0.011518010126920627,-0.0035879327164085595,0.5799256505576208,0.5799256505576208
^GSPC,test,RIDGE(alpha=0.3),269,0.007336748538166238,0.01178475590894229,-0.05061041528748089,0.516728624535316,0.5799256505576208
^GSPC,test,HGB,269,0.008451693492756616,0.012110760911271017,-0.1095410624829718,0.4646840148698885,0.5799256505576208
^GSPC,test,RF,269,0.009058780657337732,0.012356093732651985,-0.1549492653235398,0.4349442379182156,0.5799256505576208
^GSPC,test,BASELINE_NAIVE_RETURN1D,269,0.010692187545777864,0.017160660334051545,-1.2277605505600584,0.5092936802973977,0.5799256505576208
^GSPC,val,BASELINE_MEAN_TRAIN,502,0.006171127207047675,0.008106070737576458,-0.0037480775009057776,0.5577689243027888,0.5577689243027888
^GSPC,val,BASELINE_ZERO,502,0.006204625080359526,0.008139315727339828,-0.011998196233216074,0.5577689243027888,0.5577689243027888
^GSPC,val,RIDGE(alpha=0.3),502,0.006450700920291764,0.008358091174314375,-0.06713203272346324,0.4900398406374502,0.5577689243027888
^GSPC,val,HGB,502,0.006795744017876662,0.008760049174222932,-0.1722413480688585,0.4960159362549801,0.5577689243027888
^GSPC,val,RF,502,0.0071566229661411546,0.008989970949675475,-0.23458365975075313,0.49800796812749004,0.5577689243027888
^GSPC,val,BASELINE_NAIVE_RETURN1D,502,0.008847707448221845,0.011250616221984186,-0.9335551718458286,0.4900398406374502,0.5577689243027888
^IXIC,test,BASELINE_MEAN_TRAIN,269,0.009559490238999463,0.014941047398095948,-0.0005239113280564034,0.5836431226765799,0.5836431226765799
^IXIC,test,RIDGE(alpha=1.0),269,0.00977647912765799,0.014960250055837588,-0.00309736740304567,0.5092936802973977,0.5836431226765799
^IXIC,test,BASELINE_ZERO,269,0.009631521822465083,0.014960746351292508,-0.0031639225635604618,0.5836431226765799,0.5836431226765799
^IXIC,test,RF,269,0.010624114407037259,0.015503521557415885,-0.07727380634157166,0.4312267657992565,0.5836431226765799
^IXIC,test,HGB,269,0.012322017928370274,0.01705963836624005,-0.30438268933421253,0.4423791821561338,0.5836431226765799
^IXIC,test,BASELINE_NAIVE_RETURN1D,269,0.014502050710259489,0.022580400251084536,-1.2852233703767144,0.48698884758364314,0.5836431226765799
^IXIC,val,BASELINE_MEAN_TRAIN,502,0.008556072881123072,0.011174912041404387,-0.005110212726842311,0.5737051792828686,0.5737051792828686
^IXIC,val,BASELINE_ZERO,502,0.008619624089263382,0.011221455348871149,-0.013500180330460632,0.5737051792828686,0.5737051792828686
^IXIC,val,RIDGE(alpha=1.0),502,0.008947624345366974,0.011510984082119305,-0.06647422967134609,0.46215139442231074,0.5737051792828686
^IXIC,val,RF,502,0.009168591721017591,0.011698207883599862,-0.1014483289609196,0.49203187250996017,0.5737051792828686
^IXIC,val,HGB,502,0.009824260088376505,0.012393401316712108,-0.23625051331748592,0.5,0.5737051792828686
^IXIC,val,BASELINE_NAIVE_RETURN1D,502,0.012332418749734054,0.01561625259471411,-0.9628138291524821,0.5258964143426295,0.5737051792828686
